state,year,age_bm_1519,age_bm_1019,age_bm_2029,age_bm_3039,age_bm_4049,age_bm_2039,age_bm_5064,age_bm_65o,age_bf_1019,age_bf_2029,age_bf_3039,age_bf_4049,age_bf_5064,age_bf_65o,age_wm_1519,age_wm_1019,age_wm_2029,age_wm_3039,age_wm_4049,age_wm_2039,age_wm_5064,age_wm_65o,age_wf_1019,age_wf_2029,age_wf_3039,age_wf_4049,age_wf_5064,age_wf_65o,age_nm_1519,age_nm_1019,age_nm_2029,age_nm_3039,age_nm_4049,age_nm_2039,age_nm_5064,age_nm_65o,age_nf_1019,age_nf_2029,age_nf_3039,age_nf_4049,age_nf_5064,age_nf_65o,unemployment_rate,popstatecensus,poverty_rate,beer,density,pct_msa_ucr_hybrid,rpcpi,rpcim,rpcui,rpcrpo_alt_65,l_policeemployeerate0,ln_employee_rate0,ln_officer_rate0
1,1987,1.261786,2.4789672,2.0274148,1.6279141,.99281216,3.6553288,1.1291919,1.0305432,2.4842968,2.3806672,1.9854252,1.2291604,1.5563371,1.6466427,2.8787668,5.4116282,6.2064457,5.6962423,4.4662104,11.902688,5.2662582,3.8321793,5.141036,6.0772886,5.7107124,4.5829897,5.8288364,5.9049211,.038801961,.077479392,.08034347,.069210947,.047294557,.14955442,.031504802,.01265173,.072896883,.076358676,.087740242,.056907881,.041890178,.019102121,8.073707667983767,4015264,21.3,1.11,79.09201,64.152115,11287.853,160.21127,40.492958,6202.7764,253.60771,5.532937,5.1772323
1,1988,1.2633895,2.4735961,1.9606557,1.6795573,1.0322928,3.640213,1.114602,1.0240172,2.477324,2.3109913,2.052135,1.2645824,1.5423009,1.6549789,2.8537786,5.3689518,6.0216341,5.7203312,4.6087608,11.741965,5.2710857,3.8884573,5.1009502,5.8821163,5.7312412,4.7170897,5.8127546,5.9958382,.04234742,.083029769,.084794246,.073238172,.051840797,.15803242,.033972371,.013718178,.078382492,.078556448,.093020186,.062527061,.044932004,.019757159,7.205073540885665,4023844,19.3,1.12,79.261017,64.088928,11635.672,166.52579,32.967033,6144.4341,252.88554,5.5464258,5.1895509
1,1989,1.2494079,2.4677505,1.8873866,1.7250385,1.0779785,3.6124251,1.1011285,1.0188255,2.4727626,2.2369697,2.1145945,1.3092308,1.5291438,1.6615434,2.7959206,5.3039665,5.8386755,5.7476883,4.7456608,11.586364,5.2788563,3.9577899,5.0423932,5.7006688,5.7626505,4.8452086,5.8003898,6.0955095,.045431662,.088605389,.088828698,.077787146,.056522842,.16661584,.036995418,.014664179,.083345138,.081012771,.098307073,.068035834,.048036974,.020445488,7.035761013844861,4030222,18.9,1.12,79.38665,67.508812,12068.549,175.80646,33.870968,6163.4717,256.31979,5.5756311,5.219902
1,1990,1.2338126,2.4462593,1.8436421,1.7746538,1.1341709,3.6182959,1.1000843,1.012373,2.4537435,2.195179,2.1810751,1.3680348,1.5345653,1.6674044,2.7049966,5.1656065,5.7398181,5.822145,4.9064493,11.561963,5.3240108,4.0067849,4.9139585,5.6113758,5.8454866,5.0014725,5.8279991,6.1674819,.04702967,.091786899,.093590036,.08242543,.061331235,.17601547,.039668933,.014943777,.086748004,.084524967,.10416183,.074200176,.051228747,.020797785,6.774994010067282,4050055,19.2,1.12,79.803726,67.419731,12104.055,186.68707,38.255547,6214.2227,263.91611,5.6336493,5.2762384
1,1991,1.2225542,2.4458418,1.8445256,1.7832695,1.1977682,3.6277952,1.0909979,1.0013139,2.4419796,2.1895247,2.1947312,1.4344816,1.5183725,1.658313,2.5658116,5.033946,5.6728573,5.8639097,5.0092335,11.536767,5.328958,4.0384746,4.7882862,5.5756683,5.8802137,5.1050043,5.8204975,6.1963935,.046736453,.092935145,.093032919,.083157644,.062062688,.17619056,.042581018,.016377313,.089733012,.085015371,.10281042,.078488886,.053189602,.022903796,7.345012249063422,4099156,18.8,1,80.771225,67.421738,12118.942,201.90895,46.255508,6316.7944,279.68085,5.6706991,5.3124189
1,1992,1.2267866,2.4433298,1.8668032,1.7974672,1.2657306,3.6642704,1.0962322,.98964334,2.4381843,2.1880918,2.2015724,1.5126343,1.5097593,1.6450973,2.4951749,4.9489174,5.582314,5.885725,5.1147437,11.468039,5.3261576,4.0707912,4.6948147,5.4860411,5.8938189,5.2045908,5.8139009,6.2313662,.044790518,.089991733,.094219536,.084217772,.062281527,.17843731,.044476453,.016959516,.089315288,.084870055,.099993497,.078830346,.055396255,.024400443,7.580197769949469,4154014,17.3,1.02,81.852173,67.088875,12499.644,235.92302,55.595154,6441.543,290.23734,5.676527,5.3287783
1,1993,1.2252231,2.4278376,1.8919829,1.8051739,1.3290839,3.6971569,1.1021641,.97626728,2.4196339,2.19083,2.2007508,1.5897017,1.5087355,1.629958,2.4798276,4.9226184,5.4387026,5.8893223,5.165946,11.328025,5.3875709,4.1039667,4.6663647,5.3598113,5.8956184,5.2457199,5.8725805,6.2490788,.045216992,.089384645,.092437267,.085735805,.065369077,.17817307,.046266332,.018244198,.089575432,.088836126,.099353373,.081371501,.05737979,.025995001,7.343212377832282,4214202,17.4,1.14,83.038139,67.422043,12513.495,241.52249,47.750866,6513.626,291.93375,5.6969066,5.325624
1,1994,1.2323749,2.4170055,1.9050949,1.7953373,1.404193,3.7004323,1.1089863,.96433586,2.4077921,2.1816387,2.1930964,1.6780672,1.5179904,1.6148728,2.4790425,4.8909926,5.2853498,5.8618722,5.2591982,11.147223,5.4341812,4.136651,4.6352615,5.237936,5.8654633,5.3360472,5.9164205,6.2571745,.044460561,.088968366,.09003146,.085968107,.066430978,.17599957,.049067259,.017576333,.08892113,.087739915,.098229021,.082826108,.059249252,.027451208,6.20893554620041,4260229,16.4,1.16,83.945068,67.424034,12778.678,248.3131,33.063427,6590.8433,297.94437,5.7085776,5.335752
1,1995,1.2523427,2.4114354,1.9047179,1.773417,1.4693866,3.6781349,1.1153413,.9594084,2.4063683,2.1875882,2.1703691,1.755682,1.5212783,1.6055903,2.4870441,4.886797,5.1657963,5.7888947,5.3562841,10.954691,5.4557276,4.1744833,4.6232805,5.1117935,5.7947121,5.4241285,5.9425755,6.2743812,.044572365,.088839762,.087901399,.087596431,.065920182,.17549783,.052290421,.01879077,.089543536,.087127239,.097730771,.084898621,.06132219,.028948577,5.976751970065452,4296800,20.1,1.14,84.66568,67.568283,13035.433,260.49869,30.839895,6699.0249,301.44202,5.7465339,5.3630323
1,1996,1.2605809,2.3885636,1.9041567,1.7567813,1.5512295,3.660938,1.1264676,.94986415,2.384438,2.1945257,2.1436682,1.8469129,1.5324202,1.5958874,2.4998119,4.8677244,5.0845804,5.7155004,5.4991803,10.800081,5.4791822,4.2082295,4.6039033,5.0294809,5.7320724,5.5672393,5.9637289,6.283885,.045869816,.087777302,.085213438,.085190132,.068758115,.17040357,.053048629,.019205656,.089199081,.086635217,.094117031,.089222386,.063047692,.029554334,5.230334781877273,4331102,14,1.17,85.341576,67.570465,13109.624,272.14786,33.779476,6762.6294,313.10352,5.7907734,5.3922348
